user_id,event,date
ZSP3745,performance_review,2026-01-05
DRV9684,performance_review,2026-01-06
LTN9063,performance_review,2026-01-06
LXN8835,performance_review,2026-01-06
YZD2818,performance_review,2026-01-06
JLN5393,performance_review,2026-01-07
PJA2498,performance_review,2026-01-07
UZF0135,performance_review,2026-01-07
WMF0666,performance_review,2026-01-07
GKB5174,performance_review,2026-01-08
PXF1684,performance_review,2026-01-08
XDY0096,performance_review,2026-01-08
FBZ1173,performance_review,2026-01-09
LXG5367,performance_review,2026-01-09
SKT4546,performance_review,2026-01-11
YLW8258,performance_review,2026-01-11
BEM7786,performance_review,2026-01-12
EBC4994,performance_review,2026-01-13
KKW9426,performance_review,2026-01-13
FYW9481,performance_review,2026-01-14
TDZ7818,performance_review,2026-01-14
MNL3521,performance_review,2026-01-15
SZK8704,performance_review,2026-01-16
CFK9105,performance_review,2026-01-17
LML9355,performance_review,2026-01-17
SQU9903,performance_review,2026-01-17
TRG3333,performance_review,2026-01-17
ZHY2106,performance_review,2026-01-18
FSG4772,performance_review,2026-01-20
HTM0498,performance_review,2026-01-20
SHS0097,performance_review,2026-01-20
XYM2687,performance_review,2026-01-20
ETJ1562,performance_review,2026-01-21
RDH0031,performance_review,2026-01-21
DUJ3384,performance_review,2026-01-22
CNY0484,performance_review,2026-01-23
DHG3808,performance_review,2026-01-23
EDT4917,performance_review,2026-01-23
JVN9713,performance_review,2026-01-23
TSB0198,performance_review,2026-01-23
UCW5515,performance_review,2026-01-23
WEP3010,performance_review,2026-01-24
FFK3907,performance_review,2026-01-25
GGZ2556,performance_review,2026-01-25
PHM0513,performance_review,2026-01-25
SNY9928,performance_review,2026-01-25
VKE4599,performance_review,2026-01-25
YXP0912,performance_review,2026-01-25
KAQ4260,performance_review,2026-01-26
RZH8934,performance_review,2026-01-26
ZFA0404,performance_review,2026-01-26
BBY7672,performance_review,2026-01-27
DDD2744,performance_review,2026-01-27
DRJ2995,performance_review,2026-01-27
QRG1638,performance_review,2026-01-28
EPE6804,performance_review,2026-01-29
EZS7293,performance_review,2026-01-29
FVG6519,performance_review,2026-01-29
YEA8551,performance_review,2026-01-29
HZY8923,performance_review,2026-01-30
KXD0078,performance_review,2026-01-31
XZE2186,performance_review,2026-01-31
ZEU3356,performance_review,2026-02-01
